idx	subject	confidence	is_duplicate	in_repo	drop_reason	url_rewritten	note	record_type	word_count	url	title
32	cuda	lo		llm-inference-optimization			relocate: already in LRIO urls.txt	bookmark	0	https://en.algorithmica.org/hpc/architecture/	Computer Architecture
33	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://open.substack.com/pub/boringbot/p/kv-caching-and-speculative-decoding?r=b0xgd&utm_medium=ios	KV Caching and Speculative Decoding
34	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://huggingface.co/blog/not-lain/kv-caching	KV Caching Explained: Optimizing Transformer Inference Efficiency
35	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://medium.com/@joaolages/kv-caching-explained-276520203249	KV Caching Explained
36	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://open.substack.com/pub/sebastianraschka/p/coding-the-kv-cache-in-llms?r=b0xgd&utm_medium=ios	Understanding and Coding the KV Cache in LLMs from Scratch
37	llm-inference-optimization	hi		llm-inference-optimization				bookmark	0	https://developer.nvidia.com/blog/mastering-llm-techniques-inference-optimization/	Mastering LLM Techniques: Inference Optimization | NVIDIA Technical Blog
38	llm-inference-optimization	hi	dup	llm-inference-optimization				bookmark	0	https://open.substack.com/pub/boringbot/p/kv-caching-and-speculative-decoding?r=b0xgd&utm_medium=ios	KV Caching and Speculative Decoding
39	llm-inference-optimization	hi	dup	llm-inference-optimization				bookmark	0	https://developer.nvidia.com/blog/mastering-llm-techniques-inference-optimization/	Mastering LLM Techniques: Inference Optimization | NVIDIA Technical Blog
40	llm-inference-optimization	hi						bookmark	0	https://www.clarifai.com/blog/llm-inference-optimization/	LLM Inference Optimization Techniques | Clarifai Guide
41	llm-inference-optimization	hi						bookmark	0	https://huggingface.co/docs/transformers/llm_tutorial_optimization	Optimizing LLMs for Speed and Memory · Hugging Face
42	llm-inference-optimization	hi						bookmark	0	https://www.ankursnewsletter.com/p/inference-optimization-strategies?utm_campaign=post&utm_medium=web	Inference Optimization Strategies for Large Language Models: Current Trends and Future Outlook
43	llm-inference-optimization	hi						bookmark	0	https://huggingface.co/docs/transformers/perf_infer_gpu_one	Optimizing inference on GPU
44	llm-inference-optimization	hi						bookmark	0	https://www.databricks.com/blog/llm-inference-performance-engineering-best-practices	LLM Inference Performance Engineering: Best Practices
45	llm-landscape	hi						bookmark	0	https://ourworldindata.org/scaling-up-ai	Scaling up: how increasing inputs has made artificial intelligence more capable
46	llm-inference-optimization	hi						bookmark	0	https://redwerk.com/blog/llm-inference-optimization-techniques/	llm-inference-optimization-techniques
47	llm-inference-optimization	hi	dup	llm-inference-optimization				bookmark	0	https://vizuaraai.github.io/convolution-musical-journey/visual-walkthroughs.html	Vizuara Visual Walkthrough Library
48	llm-inference-optimization	hi	dup	llm-inference-optimization				bookmark	0	https://vizuaraai.github.io/convolution-musical-journey/book.html#ch00-inference-engineers-world	Inference Engineering — The Workshop Book
49	rag-retrieval	hi						bookmark	0	https://www.llamaindex.ai/blog/parse-gateway-smart-page-level-document-parser-routing	Parse Gateway: Smart, Page-Level Document Parsing Routing
50	rag-retrieval	hi						bookmark	0	https://github.com/run-llama/parse-gateway	run-llama/parse-gateway: Route every page to the right parser
51	llm-inference-optimization	hi					PDF imported without a source URL; canonical arXiv URL identified from the paper text	PDF document	11245	https://arxiv.org/pdf/1910.02054	ZeRO: Memory Optimizations Toward Training Trillion Parameter Models
52	cuda	hi						bookmark	0	https://horace.io/brrr_intro.html	Making Deep Learning go Brrrr From First Principles
53	_inbox	hi			x.com post, no retrievable content			bookmark	0	https://x.com/_arohan_/status/2081073678109098256?s=12	rohan anil (@_arohan_) 391 likes · 53 replies
54	llm-inference-optimization	hi	dup	llm-inference-optimization				bookmark	0	https://www.aleksagordic.com/blog/vllm	Inside vLLM: Anatomy of a High-Throughput LLM Inference System
55	llm-inference-optimization	hi						bookmark	0	https://handbook.modular.com/	LLM Inference Handbook
56	llm-inference-optimization	hi						bookmark	0	https://www.bentoml.com/blog/the-shift-to-distributed-llm-inference	The Shift to Distributed LLM Inference: 3 Key Technologies Breaking Single-Node Bottlenecks
57	llm-inference-optimization	hi					PDF imported without a source URL; canonical arXiv URL identified from the paper text	PDF document	9067	https://arxiv.org/pdf/1806.03377	PipeDream: Fast and Efficient Pipeline Parallel DNN Training
58	cuda	lo					PDF imported without a source URL; canonical arXiv URL identified from the paper text	PDF document	1994	https://arxiv.org/pdf/1901.02926	Three Other Models of Computer System Performance
59	llm-inference-optimization	hi	dup	llm-inference-optimization				bookmark	0	https://developer.nvidia.com/blog/mastering-llm-techniques-inference-optimization/	Mastering LLM Techniques: Inference Optimization | NVIDIA Technical Blog
60	llm-inference-optimization	hi					distributed-training paper, user-assigned to LRIO	bookmark	0	https://ezyang.github.io/interactive-parallelize-transformer/	How to Parallelize a Transformer for Training — an explorable explanation
61	llm-inference-optimization	hi						bookmark	0	https://arxiv.org/abs/2606.17081	The Price of Anarchy in Disaggregated Inference
62	llm-finetuning	hi						markdown	1408	https://github.com/OpenAccess-AI-Collective/axolotl	Axolotl — LLM Fine-tuning Framework (GitHub)
63	transformers	hi						markdown	7138	https://www.royvanrijn.com/anatomy-of-an-llm/	The Anatomy of an LLM | Interactive Visual Guide to How Language Models Work
64	cuda	hi						markdown	5601	https://huggingface.co/blog/torch-profiler	Profiling in PyTorch (Part 1): A Beginner's Guide to torch.profiler
65	llm-inference-optimization	hi						bookmark	0	https://learn.deeplearning.ai/courses/fast-and-efficient-llm-inference-with-vllm/lesson/rm60gb/introduction	Fast & Efficient LLM Inference with vLLM - DeepLearning.AI
66	ai-engineering	hi						markdown	500	https://aiengineeringfromscratch.com/	AI Engineering from Scratch
67	llm-landscape	lo						markdown	243	https://build-small-hackathon-field-guide.hf.space/partners/openbmb	OpenBMB · Build Small
68	_inbox	hi			alphaXiv landing page, not an article			markdown	1910	https://alphaxiv.org/	Explore | alphaXiv
69	rag-retrieval	hi						markdown	631	https://huggingface.co/datalab-to/lift	datalab-to/lift · Hugging Face
70	llm-inference-optimization	hi						markdown	517	https://huggingface.co/llm-semantic-router	llm-semantic-router (vLLM Semantic Router)
71	llm-inference-optimization	hi						markdown	592	https://github.com/vllm-project/semantic-router	GitHub - vllm-project/semantic-router: A programmable Mixture-of-Models router for heterogeneous LLM inference · GitHub
72	llm-inference-optimization	hi						markdown	1503	https://vllm-semantic-router.com/	Build Your Mixture-of-Models | vLLM Semantic Router
73	llm-inference-optimization	hi						markdown	2554	https://developers.redhat.com/articles/2026/06/24/optimizing-distributed-ai-inference-advanced-deployment-patterns	Optimizing distributed AI inference: Advanced deployment patterns | Red Hat Developer
74	llm-inference-optimization	hi						markdown	2333	https://developers.redhat.com/articles/2026/06/22/designing-distributed-ai-inference-core-concepts-and-scaling-dimensions	Designing distributed AI inference: Core concepts and scaling dimensions | Red Hat Developer
75	llm-inference-optimization	hi						markdown	943	https://www.etched.com/	Etched
76	llm-landscape	lo						bookmark	0	https://x.com/brian_armstrong/status/2070670644577280109?s=46	"Brian Armstrong on X: ""How to keep AI spend flat while token usage grows exponentially: Not with friction and spend alerts. With better defaults, routing, and caching. Better Defaults (not Usage Caps) – Engineers can choose any model they want, but default"
77	llm-inference-optimization	hi					title repaired from URL slug	markdown	3767	https://medium.com/@saad.ahmed1926q/kv-cache-explained-intuitively-2b425a36dfc7	KV Cache Explained Intuitively
78	llm-inference-optimization	hi						markdown	6707	https://outcomeschool.com/blog/prefill-vs-decode-llm-inference-optimization	Prefill vs Decode: LLM Inference Optimization
79	ai-engineering	hi						markdown	6848	https://lilianweng.github.io/posts/2026-07-04-harness/	Harness Engineering for Self-Improvement | Lil'Log
80	ml-foundations	lo						markdown	963	https://github.com/stas00/ml-engineering	GitHub - stas00/ml-engineering: Machine Learning Engineering Open Book · GitHub
81	llm-inference-optimization	hi						markdown	8921	https://hamzaelshafie.bearblog.dev/paged-attention-from-first-principles-a-view-inside-vllm/	Paged Attention from First Principles: A View Inside vLLM – Hamza's Blog
82	llm-inference-optimization	lo						markdown	458	https://recipes.vllm.ai/baidu/Unlimited-OCR	baidu/Unlimited-OCR | vLLM Recipes
83	llm-inference-optimization	hi						markdown	1335	https://github.com/videlalvaro/leet-llm	GitHub - videlalvaro/inference-school: A hands-on Swift and Metal course for building LLM inference from first principles on Apple silicon, with 48 guided lessons, runnable exercises, a native macOS Studio, and a complete companion book. · GitHub
84	llm-finetuning	hi						markdown	874	https://www.distillabs.ai/	distil labs – Cut LLM Costs by 80% with Custom SLMs
85	llm-landscape	hi						markdown	919	https://github.com/google-research/tabfm	GitHub - google-research/tabfm: TabFM (Tabular Foundation Model) is a pretrained tabular foundation model developed by Google Research for tabular data regression and classification. · GitHub
86	llm-inference-optimization	hi						bookmark	0	https://learn.deeplearning.ai/courses/fast-llm-inference-with-cerebras/lesson/a4u81f/introduction	Fast LLM Inference with Cerebras - DeepLearning.AI
87	llm-inference-optimization	hi						markdown	356	https://www.deeplearning.ai/courses/fast-llm-inference-with-cerebras	Fast LLM Inference with Cerebras - DeepLearning.AI
88	ai-engineering	hi						markdown	1103	https://www.coderabbit.ai/blog/teaching-nvidia-nemotron-3-5-lightning-to-route-code-reviews	Teaching NVIDIA Nemotron 3.5 Lightning to Route Code Reviews
89	ml-foundations	hi						markdown	627	https://ml-visualized.com/	Machine Learning Visualized — Machine Learning Visualized
90	ml-foundations	hi						markdown	12679	https://sebastianraschka.com/teaching/pytorch-1h/	PyTorch in One Hour | Sebastian Raschka, PhD
91	llm-inference-optimization	hi						markdown	1267	https://github.com/elizabetht/100-days-of-inference	GitHub - elizabetht/100-days-of-inference: 100 days of LLM inference engineering — daily posts, experiments, and visualizations · GitHub
92	llm-inference-optimization	hi						markdown	436	https://learn-inference.com/	Learn Inference: inference engineering, explained interactively
93	cuda	hi						markdown	22601	https://www.jepeake.com/ai-chip-architectures	AI Chip Architectures - Jacob Peake
94	llm-landscape	lo						markdown	2575	https://huggingface.co/blog/pwc-search	How Hugging Face Inference Endpoints, Jobs, and Buckets Power Search on Papers with Code
95	llm-inference-optimization	hi						markdown	3664	https://leoniemonigatti.com/blog/speculative-decoding.html	How speculative decoding makes LLMs go brrr – Leonie Monigatti
96	llm-inference-optimization	hi						markdown	448	https://github.com/FlashML-org/FreeToken	GitHub - FlashML-org/FreeToken: FreeToken brings datacenter-scale model serving to your desktop. Run massive models locally, fast and efficiently. · GitHub
97	cuda	hi						markdown	1626	https://github.com/wafer-ai/gpu-perf-engineering-resources	GitHub - wafer-ai/gpu-perf-engineering-resources: A curated resource list for learning AI performance engineering, from GPU fundamentals to production inference. · GitHub
98	llm-finetuning	hi						markdown	2816	https://thinkingmachines.ai/news/putting-task-expertise-into-rl/	Putting Task Expertise into RL Achieves State-of-the-Art Performance on Text-to-SQL - Thinking Machines Lab
99	transformers	hi						markdown	2413	https://sustcsonglin.github.io/blog/2024/deltanet-1/	DeltaNet Explained (Part I) | Songlin Yang
100	llm-finetuning	hi						bookmark	0	https://youtu.be/p3sij8QzONQ?si=dmggbgctRlShfBfC	LLMs from Scratch – Practical Engineering from Base Model to PPO RLHF - YouTube
101	llm-finetuning	hi						markdown	1016	https://huggingface.co/smol-course	smol-course (a smol course)
102	transformers	lo						markdown	3341	https://cmu-l3.github.io/anlp-fall2025/?utm_source=perplexity	CMU Advanced NLP F2025
103	llm-finetuning	hi						bookmark	0	https://learn.deeplearning.ai/courses/fine-tuning-and-reinforcement-learning-for-llms-intro-to-post-training/lesson/rm98gb4q/conversation-between-sharon-zhou-and-andrew-ng	Fine-tuning & RL for LLMs: Intro to Post-training - DeepLearning.AI
104	llm-finetuning	hi						bookmark	0	https://learn.deeplearning.ai/courses/fine-tuning-and-reinforcement-learning-for-llms-intro-to-post-training/information	Fine-tuning & RL for LLMs: Intro to Post-training - DeepLearning.AI
105	transformers	lo						markdown	404	https://www.freecodecamp.org/news/code-an-llm-from-scratch-theory-to-rlhf/	Code an LLM From Scratch – Theory to RLHF
106	llm-inference-optimization	hi						markdown	441	https://github.com/ggml-org/llama.cpp	GitHub - ggml-org/llama.cpp: LLM inference in C/C++ · GitHub
107	ai-engineering	hi						markdown	2846	https://platform.claude.com/cookbook	Claude Cookbook
108	ml-foundations	hi						markdown	158	https://stanford.edu/~shervine/teaching/cs-229	Teaching - CS 229
109	transformers	lo						markdown	255	https://huggingface.co/nanochat-students	nanochat-students (nanochat students)
110	llm-inference-optimization	hi						markdown	11386	https://rentry.org/samplers	Dummy's Guide to Modern Samplers
111	cuda	hi						markdown	293	https://developer.apple.com/metal/pytorch/	Accelerated PyTorch training on Mac - Metal - Apple Developer
112	transformers	hi						markdown	269	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3	LLMs-from-scratch/ch05/12_gemma3 at main · rasbt/LLMs-from-scratch · GitHub
113	transformers	hi						markdown	454	https://www.thelmbook.com/	The Hundred-Page Language Models Book by Andriy Burkov
114	llm-finetuning	lo						markdown	1006	https://trelis.com/advanced-fine-tuning-scripts/	Fine-tuning and Retrieval (RAG) – Trelis
115	rag-retrieval	hi						markdown	1590	https://blog.lancedb.com/a-practical-guide-to-fine-tuning-embedding-models/	A Practical Guide to Fine-Tuning Embedding Models
116	llm-landscape	hi						markdown	1533	https://ernie.baidu.com/blog/posts/ernie4.5/	Announcing the Open Source Release of the ERNIE 4.5 Model Family | ERNIE Blog
117	rag-retrieval	hi						markdown	6157	https://huggingface.co/blog/train-sparse-encoder	Training and Finetuning Sparse Embedding Models with Sentence Transformers
118	rag-retrieval	hi						markdown	2154	https://www.mixedbread.com/blog/maxsim-cpu	maxsim-cpu: Maximising Maxsim Efficiency
119	llm-inference-optimization	hi						markdown	884	https://docs.unsloth.ai/models/how-to-run-llms-with-docker	How to Run Local LLMs with Docker: Step-by-Step Guide | Unsloth Documentation
120	llm-inference-optimization	hi						markdown	1132	https://blog.vllm.ai/2025/11/19/docker-model-runner-vllm.html	Docker Model Runner Integrates vLLM for High-Throughput Inferencing | vLLM Blog
121	llm-inference-optimization	lo						bookmark	0	https://youtu.be/oxwsizy1Spw?si=uz5-VKZWJ8oTqr9j	Inference Providers: Best Way to Build with Open Source Models - YouTube
122	llm-finetuning	hi						markdown	358	https://www.deeplearning.ai/short-courses/finetuning-large-language-models/?utm_campaign=finetuning-launch&utm_content=279346493&utm_medium=social&utm_source=twitter&hss_channel=tw-992153930095251456	Finetuning Large Language Models - DeepLearning.AI
123	llm-finetuning	hi						markdown	695	https://maven.com/parlance-labs/fine-tuning	Mastering LLMs For Developers & Data Scientists by Dan Becker and Hamel Husain on Maven
124	llm-landscape	hi						bookmark	0	https://www.kaggle.com/models/metaresearch/llama-2	Meta | Llama 2 | Kaggle
125	llm-finetuning	hi						bookmark	0	https://learn.deeplearning.ai/courses/intro-to-federated-learning-c2/lesson/1/introduction	Federated Fine-tuning of LLMs with Private Data - DeepLearning.AI
126	ai-engineering	hi						markdown	3004	https://www.inovex.de/de/blog/prompt-engineering-guide/	Prompt Engineering and Zero-Shot/Few-Shot Learning [Guide] - inovex GmbH
127	ml-foundations	hi						markdown	2663	https://machinelearningmastery.com/a-gentle-introduction-to-the-jacobian/	A Gentle Introduction to the Jacobian - MachineLearningMastery.com
128	ml-foundations	hi					title repaired from URL slug	markdown	1598	https://karpathy.medium.com/yes-you-should-understand-backprop-e2f06eab496b	Yes you should understand backprop
129	_inbox	hi			private Colab drive link, no content			bookmark	0	https://colab.research.google.com/drive/1WV2oi2fh9XXyldh02wupFQX0wh5ZC-z-?usp=sharing	Google Colab
130	ml-foundations	hi						markdown	3177	https://eli.thegreenplace.net/2018/backpropagation-through-a-fully-connected-layer/	Backpropagation through a fully-connected layer - Eli Bendersky's website
131	ml-foundations	hi						markdown	4142	https://cs231n.github.io/optimization-1/	CS231n Deep Learning for Computer Vision
132	ml-foundations	hi						bookmark	0	https://youtu.be/fGDT63dZcvE	Backpropagation: How Neural Networks Learn - YouTube
133	ml-foundations	hi						bookmark	0	https://www.youtube.com/watch?v=nTlCqaL7fCY&t=74s	01L – Gradient descent and the backpropagation algorithm - YouTube
134	ai-engineering	hi						markdown	728	https://serverless-ml.org/	Serverless ML; Apps and MLOps: without the infrastructure
135	llm-finetuning	hi						markdown	254	https://apeatling.com/articles/simple-guide-to-local-llm-fine-tuning-on-a-mac-with-mlx/	A simple guide to local LLM fine-tuning on a Mac with MLX · Andy Peatling · Working with React.js, TypeScript, LLMs, & Agents
136	llm-finetuning	hi						markdown	1021	https://github.com/ml-explore/mlx-examples/tree/main/lora	mlx-examples/lora at main · ml-explore/mlx-examples · GitHub
137	ml-foundations	hi						bookmark	0	https://www.youtube.com/watch?v=VMj-3S1tku0	The spelled-out intro to neural networks and backpropagation: building micrograd - YouTube
138	ml-foundations	hi						markdown	625	http://inference.org.uk/itila/book.html	David MacKay: Information Theory, Inference, and Learning Algorithms: The Book
139	ml-foundations	hi						markdown	682	https://www.inference.org.uk/mackay/	Inference Group: David MacKay: Homepage
140	ml-foundations	lo						markdown	1091	https://github.com/facebookresearch/segment-anything	GitHub - facebookresearch/segment-anything: The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model. · GitHub
141	ml-foundations	hi						markdown	3009	https://www.storminthecastle.com/posts/01_classification/?utm_source=substack&utm_medium=email	Object Detection from Scratch - Part 1
142	ml-foundations	hi						markdown	150	https://lightning.ai/pages/courses/deep-learning-fundamentals/unit-7-overview-getting-started-with-computer-vision/	Unit 7 Overview: Getting Started with Computer Vision - Lightning AI
143	cuda	lo						markdown	5148	https://sebastianraschka.com/blog/2023/pytorch-faster.html	PyTorch Training Speed Techniques | Sebastian Raschka, PhD
144	llm-inference-optimization	hi						bookmark	0	https://www.youtube.com/watch?v=ZOWjOxC80qw	PyTorch 2.0 Q&A: Optimizing Transformers for Inference - YouTube
145	llm-inference-optimization	hi						markdown	581	https://github.com/Mozilla-Ocho/llamafile	GitHub - mozilla-ai/llamafile: Distribute and run LLMs with a single file. · GitHub
146	llm-inference-optimization	hi						markdown	746	https://simonwillison.net/2023/Nov/29/llamafile/	llamafile is the new best way to run an LLM on your own computer
147	llm-finetuning	hi						markdown	183	https://github.com/axolotl-ai-cloud/axolotl/blob/4d2e842e46bf8bd6dd0fda4d2667a7e7d80b4cd4/examples/llama-2/tiny-llama.yml	axolotl/examples/llama-2/tiny-llama.yml (recovered @ 4d2e842e)
148	llm-finetuning	hi						markdown	14705	https://www.latent.space/p/axolotl	The Busy Person's Intro to Finetuning & Open Source AI - Wing Lian, Axolotl
149	rag-retrieval	hi						markdown	130	https://huggingface.co/unstructuredio	unstructuredio (unstructured.io)
150	llm-finetuning	hi						bookmark	0	https://www.youtube.com/watch?v=3fsn19OI_C8	The EASIEST way to finetune LLAMA-v2 on local machine! - YouTube
151	llm-inference-optimization	hi						markdown	5031	https://huggingface.co/blog/hf-bitsandbytes-integration	A Gentle Introduction to 8-bit Matrix Multiplication for transformers at scale using transformers, accelerate and bitsandbytes
152	transformers	hi						markdown	6554	https://blog.briankitano.com/llama-from-scratch/	Llama from scratch (or how to implement a paper without crying) – Brian Kitano
153	transformers	hi						markdown	4202	https://lilianweng.github.io/posts/2018-06-24-attention/	Attention? Attention! | Lil'Log
154	llm-landscape	lo					title repaired from URL slug	markdown	6300	https://heartbeat.comet.ml/large-language-models-a-complete-guide-f818397c82d4	Large Language Models: A Complete Guide
155	llm-finetuning	hi						markdown	2364	https://magazine.sebastianraschka.com/p/finetuning-large-language-models	Finetuning Large Language Models
156	rag-retrieval	hi						markdown	1239	https://mistral.ai/news/mistral-ocr	Mistral OCR | Mistral AI
157	llm-finetuning	hi						markdown	2901	https://github.com/modelscope/ms-swift	GitHub - modelscope/ms-swift: Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 600+ LLMs (Qwen3.6, DeepSeek-V4, GLM-5.1, InternLM3, Llama4, ...) and 300+ MLLMs (Qwen3-VL, Qwen3-Omni, InternVL3.5, Ovis2.5, GLM4.5v, Gemma4, Llava, Phi4, ...) (AAAI 2025). · Git
158	rag-retrieval	hi						bookmark	0	https://colbert.aiserv.cloud/	ColBERT Inference in the Browser
159	rag-retrieval	hi						markdown	772	https://github.com/tonywu71/colpali-cookbooks/blob/b7a0798cbb8e4f1f6223f9c3b7dac2172b1b6ce1/examples/gen_colpali_similarity_maps.ipynb	colpali-cookbooks/examples/gen_colpali_similarity_maps.ipynb at b7a0798cbb8e4f1f6223f9c3b7dac2172b1b6ce1 · tonywu71/colpali-cookbooks · GitHub
160	rag-retrieval	hi						markdown	2119	https://blog.vespa.ai/pretrained-transformer-language-models-for-search-part-3/	Pretrained Transformer Language Models for Search - part 3 | Vespa Blog
161	rag-retrieval	hi						markdown	3232	https://huggingface.co/blog/fsommers/document-similarity-colpali	Document Similarity Search with ColPali
162	rag-retrieval	hi						markdown	3326	https://github.com/illuin-tech/colpali	GitHub - illuin-tech/colpali: The code used to train and run inference with the ColVision models, e.g. ColPali, ColQwen2, and ColSmol. · GitHub
163	rag-retrieval	hi						markdown	425	https://github.com/tonywu71/colpali-cookbooks	GitHub - tonywu71/colpali-cookbooks: Recipes for learning, fine-tuning, and adapting ColPali to your multimodal RAG use cases. 👨🏻‍🍳 · GitHub
164	llm-finetuning	hi			truncated Colab URL, ambiguous (2-4 candidate notebooks)			bookmark	0	https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Qwen3_(4B	Google Colab
165	llm-finetuning	hi						markdown	21	https://lightning.ai/akshay-ddods/studios/fine-tuning-alibaba-s-qwen3-100-local?section=featured	Fine-tuning Alibaba's Qwen3 (100% local) - a Lightning template by avi-chawla
