outcome	url	resulting_title
MARKDOWN	https://thinkingmachines.ai/news/putting-task-expertise-into-rl/	Putting Task Expertise into RL Achieves State-of-the-Art Performance on Text-to-SQL - Thinking Machines Lab
MARKDOWN	https://sustcsonglin.github.io/blog/2024/deltanet-1/	DeltaNet Explained (Part I) | Songlin Yang
BOOKMARK	https://youtu.be/p3sij8QzONQ?si=dmggbgctRlShfBfC	LLMs from Scratch – Practical Engineering from Base Model to PPO RLHF - YouTube
MARKDOWN	https://huggingface.co/smol-course	smol-course (a smol course)
MARKDOWN	https://cmu-l3.github.io/anlp-fall2025/?utm_source=perplexity	CMU Advanced NLP F2025
BOOKMARK	https://learn.deeplearning.ai/courses/fine-tuning-and-reinforcement-learning-for-llms-intro-to-post-training/lesson/rm98gb4q/conversation-between-sharon-zhou-and-andrew-ng	Fine-tuning & RL for LLMs: Intro to Post-training - DeepLearning.AI
BOOKMARK	https://learn.deeplearning.ai/courses/fine-tuning-and-reinforcement-learning-for-llms-intro-to-post-training/information	Fine-tuning & RL for LLMs: Intro to Post-training - DeepLearning.AI
MARKDOWN	https://www.freecodecamp.org/news/code-an-llm-from-scratch-theory-to-rlhf/	Code an LLM From Scratch – Theory to RLHF
SKIP-DUP	https://github.com/vllm-project/vllm	
MARKDOWN	https://github.com/ggml-org/llama.cpp	GitHub - ggml-org/llama.cpp: LLM inference in C/C++ · GitHub
SKIP-DUP	https://huggingface.co/blog/hf-skills-training	
MARKDOWN	https://platform.claude.com/cookbook	Claude Cookbook
MARKDOWN	https://stanford.edu/~shervine/teaching/cs-229	Teaching - CS 229
MARKDOWN	https://huggingface.co/nanochat-students	nanochat-students (nanochat students)
MARKDOWN	https://rentry.org/samplers	Dummy's Guide to Modern Samplers
MARKDOWN	https://developer.apple.com/metal/pytorch/	Accelerated PyTorch training on Mac - Metal - Apple Developer
MARKDOWN	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3	LLMs-from-scratch/ch05/12_gemma3 at main · rasbt/LLMs-from-scratch · GitHub
MARKDOWN	https://www.thelmbook.com/	The Hundred-Page Language Models Book by Andriy Burkov
MARKDOWN	https://trelis.com/advanced-fine-tuning-scripts/	Fine-tuning and Retrieval (RAG) – Trelis
MARKDOWN	https://github.com/TrelisResearch	Trelis Research · GitHub
MARKDOWN	https://blog.lancedb.com/a-practical-guide-to-fine-tuning-embedding-models/	A Practical Guide to Fine-Tuning Embedding Models
MARKDOWN	https://ernie.baidu.com/blog/posts/ernie4.5/	Announcing the Open Source Release of the ERNIE 4.5 Model Family | ERNIE Blog
MARKDOWN	https://huggingface.co/blog/train-sparse-encoder	Training and Finetuning Sparse Embedding Models with Sentence Transformers
MARKDOWN	https://maven.com/p/935d62/improving-retrievers-by-reranking-and-embedding-fine-tuning?utm_medium=ll_share_link&utm_source=instructor	Improving retrievers by Reranking and embedding fine-tuning
MARKDOWN	https://www.mixedbread.com/blog/maxsim-cpu	maxsim-cpu: Maximising Maxsim Efficiency
MARKDOWN	https://docs.unsloth.ai/models/how-to-run-llms-with-docker	How to Run Local LLMs with Docker: Step-by-Step Guide | Unsloth Documentation
MARKDOWN	https://blog.vllm.ai/2025/11/19/docker-model-runner-vllm.html	Docker Model Runner Integrates vLLM for High-Throughput Inferencing | vLLM Blog
BOOKMARK	https://youtu.be/oxwsizy1Spw?si=uz5-VKZWJ8oTqr9j	Inference Providers: Best Way to Build with Open Source Models - YouTube
MARKDOWN	https://www.deeplearning.ai/short-courses/finetuning-large-language-models/?utm_campaign=finetuning-launch&utm_content=279346493&utm_medium=social&utm_source=twitter&hss_channel=tw-992153930095251456	Finetuning Large Language Models - DeepLearning.AI
MARKDOWN	https://maven.com/parlance-labs/fine-tuning	Mastering LLMs For Developers & Data Scientists by Dan Becker and Hamel Husain on Maven
MARKDOWN	https://www.kaggle.com/models/metaresearch/llama-2	llama-2
BOOKMARK	https://learn.deeplearning.ai/courses/intro-to-federated-learning-c2/lesson/1/introduction	Federated Fine-tuning of LLMs with Private Data - DeepLearning.AI
MARKDOWN	https://www.inovex.de/de/blog/prompt-engineering-guide/	Prompt Engineering and Zero-Shot/Few-Shot Learning [Guide] - inovex GmbH
MARKDOWN	https://machinelearningmastery.com/a-gentle-introduction-to-the-jacobian/	A Gentle Introduction to the Jacobian - MachineLearningMastery.com
MARKDOWN	https://karpathy.medium.com/yes-you-should-understand-backprop-e2f06eab496b	Medium
BOOKMARK	https://colab.research.google.com/drive/1WV2oi2fh9XXyldh02wupFQX0wh5ZC-z-?usp=sharing	Google Colab
MARKDOWN	https://eli.thegreenplace.net/2018/backpropagation-through-a-fully-connected-layer/	Backpropagation through a fully-connected layer - Eli Bendersky's website
MARKDOWN	https://cs231n.github.io/optimization-1/	CS231n Deep Learning for Computer Vision
BOOKMARK	https://youtu.be/fGDT63dZcvE	Backpropagation: How Neural Networks Learn - YouTube
BOOKMARK	https://www.youtube.com/watch?v=nTlCqaL7fCY&t=74s	01L – Gradient descent and the backpropagation algorithm - YouTube
MARKDOWN	https://serverless-ml.org/	Serverless ML; Apps and MLOps: without the infrastructure
MARKDOWN	https://apeatling.com/articles/simple-guide-to-local-llm-fine-tuning-on-a-mac-with-mlx/	A simple guide to local LLM fine-tuning on a Mac with MLX · Andy Peatling · Working with React.js, TypeScript, LLMs, & Agents
MARKDOWN	https://github.com/ml-explore/mlx-examples/tree/main/lora	mlx-examples/lora at main · ml-explore/mlx-examples · GitHub
BOOKMARK	https://www.youtube.com/watch?v=VMj-3S1tku0	The spelled-out intro to neural networks and backpropagation: building micrograd - YouTube
MARKDOWN	http://inference.org.uk/itila/book.html	David MacKay: Information Theory, Inference, and Learning Algorithms: The Book
MARKDOWN	https://www.inference.org.uk/mackay/	Inference Group: David MacKay: Homepage
MARKDOWN	https://github.com/matheusfacure/causal-inference-in-python-code	GitHub - matheusfacure/causal-inference-in-python-code: Code for the Book Causal Inference in Python · GitHub
MARKDOWN	https://github.com/facebookresearch/segment-anything	GitHub - facebookresearch/segment-anything: The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model. · GitHub
MARKDOWN	https://www.storminthecastle.com/posts/01_classification/?utm_source=substack&utm_medium=email	Object Detection from Scratch - Part 1
MARKDOWN	https://lightning.ai/pages/courses/deep-learning-fundamentals/unit-7-overview-getting-started-with-computer-vision/	Unit 7 Overview: Getting Started with Computer Vision - Lightning AI
MARKDOWN	https://sebastianraschka.com/blog/2023/pytorch-faster.html	PyTorch Training Speed Techniques | Sebastian Raschka, PhD
BOOKMARK	https://www.youtube.com/watch?v=ZOWjOxC80qw	PyTorch 2.0 Q&A: Optimizing Transformers for Inference - YouTube
MARKDOWN	https://github.com/Mozilla-Ocho/llamafile	GitHub - mozilla-ai/llamafile: Distribute and run LLMs with a single file. · GitHub
MARKDOWN	https://simonwillison.net/2023/Nov/29/llamafile/	llamafile is the new best way to run an LLM on your own computer
SKIP-DUP	https://github.com/OpenAccess-AI-Collective/axolotl	
MARKDOWN	https://github.com/OpenAccess-AI-Collective/axolotl/blob/main/examples/llama-2/tiny-llama.yml	Rate limit · GitHub
MARKDOWN	https://www.latent.space/p/axolotl	The Busy Person's Intro to Finetuning & Open Source AI - Wing Lian, Axolotl
MARKDOWN	https://huggingface.co/unstructuredio	unstructuredio (unstructured.io)
MARKDOWN	https://qdrant.tech/documentation/	Documentation - Qdrant
BOOKMARK	https://www.youtube.com/watch?v=3fsn19OI_C8	The EASIEST way to finetune LLAMA-v2 on local machine! - YouTube
MARKDOWN	https://huggingface.co/blog/hf-bitsandbytes-integration	A Gentle Introduction to 8-bit Matrix Multiplication for transformers at scale using transformers, accelerate and bitsandbytes
MARKDOWN	https://blog.briankitano.com/llama-from-scratch/	Llama from scratch (or how to implement a paper without crying) – Brian Kitano
MARKDOWN	https://lilianweng.github.io/posts/2018-06-24-attention/	Attention? Attention! | Lil'Log
MARKDOWN	https://heartbeat.comet.ml/large-language-models-a-complete-guide-f818397c82d4	Medium
MARKDOWN	https://magazine.sebastianraschka.com/p/finetuning-large-language-models	Finetuning Large Language Models
MARKDOWN	https://mistral.ai/news/mistral-ocr	Mistral OCR | Mistral AI
MARKDOWN	https://github.com/modelscope/ms-swift	GitHub - modelscope/ms-swift: Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 600+ LLMs (Qwen3.6, DeepSeek-V4, GLM-5.1, InternLM3, Llama4, ...) and 300+ MLLMs (Qwen3-VL, Qwen3-Omni, InternVL3.5, Ovis2.5, GLM4.5v, Gemma4, Llava, Phi4, ...) (AAAI 2025). · Git
MARKDOWN	https://colbert.aiserv.cloud/	colbert.aiserv.cloud
MARKDOWN	https://github.com/tonywu71/colpali-cookbooks/blob/b7a0798cbb8e4f1f6223f9c3b7dac2172b1b6ce1/examples/gen_colpali_similarity_maps.ipynb	colpali-cookbooks/examples/gen_colpali_similarity_maps.ipynb at b7a0798cbb8e4f1f6223f9c3b7dac2172b1b6ce1 · tonywu71/colpali-cookbooks · GitHub
MARKDOWN	https://blog.vespa.ai/pretrained-transformer-language-models-for-search-part-3/	Pretrained Transformer Language Models for Search - part 3 | Vespa Blog
MARKDOWN	https://huggingface.co/blog/fsommers/document-similarity-colpali	Document Similarity Search with ColPali
MARKDOWN	https://github.com/illuin-tech/colpali	GitHub - illuin-tech/colpali: The code used to train and run inference with the ColVision models, e.g. ColPali, ColQwen2, and ColSmol. · GitHub
MARKDOWN	https://github.com/tonywu71/colpali-cookbooks	GitHub - tonywu71/colpali-cookbooks: Recipes for learning, fine-tuning, and adapting ColPali to your multimodal RAG use cases. 👨🏻‍🍳 · GitHub
BOOKMARK	https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Qwen3_(4B	Google Colab
MARKDOWN	https://lightning.ai/akshay-ddods/studios/fine-tuning-alibaba-s-qwen3-100-local?section=featured	Fine-tuning Alibaba's Qwen3 (100% local) - a Lightning template by avi-chawla
MARKDOWN	https://huggingface.co/vidore/colqwen2-v0.1	vidore/colqwen2-v0.1 · Hugging Face
MARKDOWN	https://learning.oreilly.com/library/view/pretrain-vision-and/9781804618257/B18942_TOC_ePub.xhtml	Access Denied
MARKDOWN	https://github.com/merveenoyan/smol-vision/blob/main/Finetune_ColPali.ipynb	smol-vision/Finetune_ColPali.ipynb at main · merveenoyan/smol-vision · GitHub
BOOKMARK	https://colab.research.google.com/drive/12v2u2IRcmda2fJTNZk88OLF246u_bfSH?usp=sharing	Google Colab
MARKDOWN	https://www.byhand.ai/p/computer-vision-lectures	Computer Vision Lectures - by Prof. Tom Yeh - AI by Hand ✍️
SKIP-DUP	https://docs.unsloth.ai/basics/qwen3-how-to-run-and-fine-tune	
BOOKMARK	https://youtu.be/Ik6nbAjxLk4?si=R0hSkz3N3V6rWRLg	Fine tune Gemma 3, Qwen3, Llama 4, Phi 4 and Mistral Small with Unsloth and Transformers - YouTube
BOOKMARK	https://colab.research.google.com/github/merveenoyan/smol-vision/blob/main/Fine_tune_PaliGemma.ipynb	Google Colab
MARKDOWN	https://github.com/katanaml/sparrow	GitHub - katanaml/sparrow: Structured data extraction, instruction calling and agentic workflows with ML, LLM and Vision LLM · GitHub
MARKDOWN	https://arxiv.org/abs/2502.08145	[2502.08145] Democratizing AI: Open-source Scalable LLM Training on GPU-based Supercomputers
MARKDOWN	https://mistral.ai/solutions/document-ai	Document AI and OCR | Mistral AI
MARKDOWN	https://huggingface.co/tasks/any-to-any	What is Any-to-Any? - Hugging Face
SKIP-DUP	https://www.aleksagordic.com/blog/vllm	
BOOKMARK	https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Qwen3_VL_(8B	Google Colab
SKIP-DUP	https://huggingface.co/PaddlePaddle/PaddleOCR-VL	
MARKDOWN	https://allenai.org/blog/olmocr-2	olmOCR 2: Unit test rewards for document OCR | Ai2
MARKDOWN	https://huggingface.co/allenai/olmOCR-2-7B-1025-FP8	allenai/olmOCR-2-7B-1025-FP8 · Hugging Face
MARKDOWN	https://huggingface.co/deepseek-ai/DeepSeek-OCR	deepseek-ai/DeepSeek-OCR · Hugging Face
MARKDOWN	https://www.deeplearning.ai/short-courses/improving-accuracy-of-llm-applications/?utm_campaign=lamini-launch&utm_content=304497717&utm_medium=social&utm_source=twitter&hss_channel=tw-992153930095251456	Improving Accuracy of LLM Applications - DeepLearning.AI
MARKDOWN	https://www.answer.ai/posts/2024-03-06-fsdp-qlora.html	You can now train a 70b language model at home – Answer.AI
MARKDOWN	https://huggingface.co/blog/visheratin/nomic-data-cleaning	Data exploration and filtering with Nomic Atlas
MARKDOWN	https://buttondown.email/ainews/archive/ainews-cohere-command-r-anthropic-claude-tool-use/	[AINews] Cohere Command R+, Anthropic Claude Tool Use, OpenAI Finetuning • Buttondown
MARKDOWN	https://huggingface.co/learn/cookbook/en/dspy_gepa	Prompt Optimization for Language Models with DSPy GEPA · Hugging Face
BOOKMARK	https://youtube.com/playlist?list=PLuI8kc1bqP2junKkKVD-5441I8G7oXDTm&si=NmdhiqdX3ZokZ6dC	The Hands-on LLM Course - YouTube
MARKDOWN	https://github.com/iusztinpaul/hands-on-llms?	=readme-ov-file
MARKDOWN	https://github.com/rasbt/LLMs-from-scratch	GitHub - rasbt/LLMs-from-scratch: Implement a ChatGPT-like LLM in PyTorch from scratch, step by step · GitHub
SKIP-DUP	https://magazine.sebastianraschka.com/p/coding-the-kv-cache-in-llms	
MARKDOWN	https://book.theaiedge.io/home	The Big Book of LLMs
MARKDOWN	https://huggingface.co/blog/kv-cache	KV Cache from scratch in nanoVLM
MARKDOWN	https://mlabonne.github.io/blog/posts/A_Beginners_Guide_to_LLM_Finetuning.html	A Beginner’s Guide to LLM Fine-Tuning – Maxime Labonne
MARKDOWN	https://github.com/eosphoros-ai/DB-GPT-Hub	GitHub - eosphoros-ai/DB-GPT-Hub: A repository that contains models, datasets, and fine-tuning techniques for DB-GPT, with the purpose of enhancing model performance in Text-to-SQL · GitHub
BOOKMARK	https://youtube.com/live/pov3pLFMOPY?feature=share	QLoRA: Quantization for Fine Tuning - YouTube
MARKDOWN	https://towardsdatascience.com/running-llama-2-on-cpu-inference-for-document-q-a-3d636037a3d8	Running Llama 2 on CPU Inference Locally for Document Q&A | Towards Data Science
MARKDOWN	https://pub.towardsai.net/how-i-created-an-animation-of-the-embeddings-during-fine-tuning-2b8bdf49f822	Medium
MARKDOWN	https://huggingface.co/blog/rlhf	Illustrating Reinforcement Learning from Human Feedback (RLHF)
MARKDOWN	https://www.deeplearning.ai/short-courses/reinforcement-learning-from-human-feedback/	Reinforcement Learning From Human Feedback - DeepLearning.AI
BOOKMARK	https://youtube.com/live/hhiLw5Q_UFg?feature=share	John Schulman - Reinforcement Learning from Human Feedback: Progress and Challenges - YouTube
MARKDOWN	https://www.interconnects.ai/p/rlhf-resources	RLHF learning resources in 2024 - by Nathan Lambert
MARKDOWN	https://gist.github.com/yoavg/6bff0fecd65950898eba1bb321cfbd81?utm_source=substack&utm_medium=email	rl-for-llms.md · GitHub
SKIP-DUP	https://rlhfbook.com/	
MARKDOWN	https://www.deeplearning.ai/short-courses/reinforcement-fine-tuning-llms-grpo/	Reinforcement Fine-Tuning LLMs With GRPO - DeepLearning.AI
BOOKMARK	https://www.youtube.com/watch?v=Z_JUqJBpVOk&list=PLs8w1Cdi-zvbUan-KlgwKN2CycndyKXXS&pp=gAQB	Reinforcement Learning with Human Feedback (RLHF) - How to train and fine-tune Transformer Models - YouTube
MARKDOWN	https://arxiv.org/abs/2503.01067	[2503.01067] All Roads Lead to Likelihood: The Value of Reinforcement Learning in Fine-Tuning
MARKDOWN	https://docs.unsloth.ai/basics/reinforcement-learning-guide	Reinforcement Learning (RL) Guide | Unsloth Documentation
MARKDOWN	https://www.deeplearning.ai/short-courses/finetuning-large-language-models/?utm_campaign=finetuning-launch&utm_medium=video&utm_source=youtube&utm_content=teaser	Finetuning Large Language Models - DeepLearning.AI
MARKDOWN	https://www.wandb.courses/courses/training-fine-tuning-LLMs	Training LLMs Course: Discover Fine-Tuning Techniques
MARKDOWN	https://sumanthrh.com/post/distributed-and-efficient-finetuning/	Everything about Distributed Training and Efficient Finetuning | Sumanth's Personal Website
BOOKMARK	https://www.youtube.com/embed/zbKz4g100SQ?start=414	YouTube
MARKDOWN	https://pytorch.org/blog/finetune-llms/?utm_content=278057354&utm_medium=social&utm_source=twitter&hss_channel=tw-776585502606721024	Finetune LLMs on your own consumer hardware using tools from PyTorch and Hugging Face ecosystem – PyTorch
MARKDOWN	https://www.chrismccormick.ai/products/fine-tuning-bert-for-ner	ChrisMcCormick.AI
MARKDOWN	https://github.com/kryvokhyzha/how-to-understand-bert	GitHub - kryvokhyzha/how-to-understand-bert: In this repository, I have collected different sources, visualizations, and code examples of BERT · GitHub
BOOKMARK	https://youtu.be/dA-NhCtrrVE	Low-rank Adaption of Large Language Models: Explaining the Key Concepts Behind LoRA - YouTube
MARKDOWN	https://web.stanford.edu/~jurafsky/slp3/	Speech and Language Processing
MARKDOWN	https://github.com/karpathy/nanoGPT	GitHub - karpathy/nanoGPT: The simplest, fastest repository for training/finetuning medium-sized GPTs. · GitHub
MARKDOWN	https://github.com/karpathy/nanoGPT/blob/master/model.py	nanoGPT/model.py at master · karpathy/nanoGPT · GitHub
MARKDOWN	https://github.com/neo4j-labs/text2cypher/blob/main/finetuning/unsloth-llama3/README.md#llamaindex	Rate limit · GitHub
MARKDOWN	https://e2eml.school/blog.html	Brandon Rohrer's blog
MARKDOWN	https://end-to-end-machine-learning.teachable.com/courses/enrolled/612528	Write a Neural Network Framework | End to End Machine Learning
BOOKMARK	https://www.youtube.com/watch?v=VMj-3S1tku0&list=PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ	The spelled-out intro to neural networks and backpropagation: building micrograd - YouTube
BOOKMARK	https://m.youtube.com/watch?v=VMj-3S1tku0	The spelled-out intro to neural networks and backpropagation: building micrograd - YouTube
MARKDOWN	https://karpathy.github.io/neuralnets/	Hacker's guide to Neural Networks
MARKDOWN	https://mattmazur.com/2015/03/17/a-step-by-step-backpropagation-example/	A Step by Step Backpropagation Example | Matt Mazur
MARKDOWN	https://karpathy.github.io/2019/04/25/recipe/	A Recipe for Training Neural Networks
MARKDOWN	https://github.com/stas00/toolbox	GitHub - stas00/ml-engineering: Machine Learning Engineering Open Book · GitHub
MARKDOWN	https://pyimagesearch.com/2022/12/26/automatic-differentiation-part-2-implementation-using-micrograd/	Automatic Differentiation Part 2: Implementation Using Micrograd - PyImageSearch
MARKDOWN	https://pyimagesearch.com/2021/05/06/backpropagation-from-scratch-with-python/	Backpropagation from scratch with Python - PyImageSearch
BOOKMARK	https://www.youtube.com/watch?v=QwZQrxIk6Dg&list=PLLHTzKZzVU9d_3TcHbyiAjl5qCbpJR-o0&index=2&t=1311s	03 – Inference with neural nets - YouTube
BOOKMARK	https://m.youtube.com/watch?v=QwZQrxIk6Dg	03 – Inference with neural nets - YouTube
MARKDOWN	https://lightning.ai/pages/courses/deep-learning-fundamentals/unit-1/unit-1-1/	What is Machine Learning? | Unit 1
MARKDOWN	https://mapie.readthedocs.io/en/latest/index.html#	MAPIE
MARKDOWN	https://github.com/labmlai/annotated_deep_learning_paper_implementations	GitHub - labmlai/annotated_deep_learning_paper_implementations: 🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, 
MARKDOWN	https://courses.d2l.ai/berkeley-stat-157/syllabus.html	Syllabus — STAT 157, Spring 19 documentation
BOOKMARK	https://www.youtube.com/watch?v=DKSZHN7jftI&list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi	Tutorial 1- Introduction to Neural Network and Deep Learning - YouTube
MARKDOWN	https://machinelearningmastery.com/implement-backpropagation-algorithm-scratch-python/	How to Code a Neural Network with Backpropagation In Python (from scratch) - MachineLearningMastery.com
BOOKMARK	https://www.youtube.com/watch?v=CRB266Eyjkg&list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi&index=6	Tutorial 6-Chain Rule of Differentiation with BackPropagation - YouTube
BOOKMARK	https://www.youtube.com/watch?v=lZrIPRnoGQQ&list=PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k&index=29&t=58s	27. Backpropagation: Find Partial Derivatives - YouTube
MARKDOWN	https://ocw.mit.edu/courses/mathematics/18-065-matrix-methods-in-data-analysis-signal-processing-and-machine-learning-spring-2018/video-lectures/lecture-27-backpropagation-find-partial-derivatives/	Lecture 27: Backpropagation: Find Partial Derivatives | Matrix Methods in Data Analysis, Signal Processing, and Machine Learning | Mathematics | MIT OpenCourseWare
MARKDOWN	https://arxiv.org/abs/1502.05767	[1502.05767] Automatic differentiation in machine learning: a survey
MARKDOWN	http://timvieira.github.io/blog/post/2017/08/18/backprop-is-not-just-the-chain-rule/	Backprop Is Not Just the Chain Rule
MARKDOWN	http://cs231n.stanford.edu/handouts/linear-backprop.pdf	Backpropagation for a Linear Layer
MARKDOWN	http://colah.github.io/posts/2015-08-Backprop/	Calculus on Computational Graphs: Backpropagation -- colah's blog
MARKDOWN	https://alexander-schiendorfer.github.io/2020/02/16/automatic-differentiation.html	Automatic Differentiation for Deep Learning, by example | Connecting deep dots
MARKDOWN	http://cs231n.stanford.edu/slides/2020/section_2_annotated.pdf	Backpropagation
MARKDOWN	http://cs231n.stanford.edu/slides/2020/section_2_backprop.pdf	Backpropagation
MARKDOWN	http://neuralnetworksanddeeplearning.com/chap2.html	Neural networks and deep learning
MARKDOWN	http://yann.lecun.com/exdb/publis/pdf/lecun-98b.pdf	Ecient BackProp
MARKDOWN	http://cs231n.stanford.edu/slides/2020/lecture_4.pdf	Lecture 4:
MARKDOWN	http://people.idsia.ch/~juergen/who-invented-backpropagation.html	Who Invented Backpropagation?
MARKDOWN	https://dl.acm.org/doi/book/10.5555/201784	201784
MARKDOWN	https://brilliant.org/practice/backpropagation-vanishing-and-exploding-gradient/?p=1	Brilliant | Your Personal Tutor for Math and Coding
MARKDOWN	https://leanpub.com/pytorch	Deep Learning with PyTorch Step-by-Step [Leanpub PDF/iPad/Kindle]
MARKDOWN	https://huyenchip.com/2022/01/02/real-time-machine-learning-challenges-and-solutions.html	Real-time machine learning: challenges and solutions
MARKDOWN	https://courses.edx.org/courses/course-v1:MITx+6.008.1x+3T2016/course/	course
MARKDOWN	https://camdavidsonpilon.github.io/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/#using-the-book	Bayesian Methods for Hackers
MARKDOWN	https://courses.edx.org/courses/course-v1:MITx+6.008.1x+3T2016/courseware/1__Probability_and_Inference/intro_prob/?activate_block_id=block-v1%3AMITx%2B6.008.1x%2B3T2016%2Btype%40sequential%2Bblock%40intro_prob	?activate_block_id=block-v1%3AMITx%2B6.008.1x%2B3T2016%2Btype%40sequential%2Bblock%40intro_prob
MARKDOWN	https://towardsdatascience.com/guide-to-file-formats-for-machine-learning-columnar-training-inferencing-and-the-feature-store-2e0c3d18d4f9	Comparing Performance of Big Data File Formats: A Practical Guide | Towards Data Science
MARKDOWN	https://huggingface.co/mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis	mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis · Hugging Face
